,Name,Line_Category,Line,Over_Under,League,Bookmaker,No_Vig_Probability
0,Qinwen Zheng,Games Lost,12.5,Over,Tennis,Draftkings,0.48987854251012153
1,Qinwen Zheng,Games Lost,12.5,Under,Tennis,Draftkings,0.5101214574898785
2,Veronika Kudermetova,Games Lost,11.5,Over,Tennis,Draftkings,0.5048923679060665
3,Veronika Kudermetova,Games Lost,11.5,Under,Tennis,Draftkings,0.4951076320939335
4,Alize Cornet,Games Lost,12.5,Over,Tennis,Draftkings,0.45540796963946867
5,Alize Cornet,Games Lost,12.5,Under,Tennis,Draftkings,0.5445920303605313
6,Maria Sakkari,Games Lost,11.5,Over,Tennis,Draftkings,0.5346534653465347
7,Maria Sakkari,Games Lost,11.5,Under,Tennis,Draftkings,0.4653465346534653
8,Bianca Andreescu,Games Lost,12.5,Over,Tennis,Draftkings,0.44247787610619466
9,Bianca Andreescu,Games Lost,12.5,Under,Tennis,Draftkings,0.5575221238938053
10,Marketa Vondrousova,Games Lost,11.5,Over,Tennis,Draftkings,0.5575221238938053
11,Marketa Vondrousova,Games Lost,11.5,Under,Tennis,Draftkings,0.44247787610619466
0,Qinwen Zheng,Games Won,11.5,Over,Tennis,Draftkings,0.5048923679060665
1,Qinwen Zheng,Games Won,11.5,Under,Tennis,Draftkings,0.4951076320939335
2,Veronika Kudermetova,Games Won,12.5,Over,Tennis,Draftkings,0.48987854251012153
3,Veronika Kudermetova,Games Won,12.5,Under,Tennis,Draftkings,0.5101214574898785
4,Alize Cornet,Games Won,11.5,Over,Tennis,Draftkings,0.5346534653465347
5,Alize Cornet,Games Won,11.5,Under,Tennis,Draftkings,0.4653465346534653
6,Maria Sakkari,Games Won,12.5,Over,Tennis,Draftkings,0.45540796963946867
7,Maria Sakkari,Games Won,12.5,Under,Tennis,Draftkings,0.5445920303605313
8,Bianca Andreescu,Games Won,11.5,Over,Tennis,Draftkings,0.5575221238938053
9,Bianca Andreescu,Games Won,11.5,Under,Tennis,Draftkings,0.44247787610619466
10,Marketa Vondrousova,Games Won,12.5,Over,Tennis,Draftkings,0.44247787610619466
11,Marketa Vondrousova,Games Won,12.5,Under,Tennis,Draftkings,0.5575221238938053
